graph,blocks,Type,tpart,concurrent,index,job,iter,scale1,tstop,scale0,flips,updates,neighbor_updates,cut,ene,anneal,u,m,syncs,surprise_flips,gradient_difference_norm,tstep,nodes,edges,BKS,Ratio,GInd,Inverse Ratio,bits,GS,target,factor,TTT,BTT,solved
G029,4,ER,6.258149233243954e-08,False,5619.5,5620.5,19.5,0.8,2e-05,3.0,2315686.65,283348.225,14912.35,3304.075,-6528.15,2.00288e-05,0.0,0.0,,,,2.2e-11,2000.0,19990.0,3405.0,0.9703597650513951,29.0,0.02964023494860498,639166.6051604482,0.025,0.98,181.89450638245114,0.0036431286894328375,116260894.14180678,True
G040,4,BA,6.258149233243954e-08,False,5699.5,5700.5,19.5,0.8,2e-05,3.0,3660276.85,223920.525,24851.75,2315.175,-4728.35,2.00288e-05,0.0,0.0,,,,2.2e-11,2000.0,11766.0,2400.0,0.96465625,40.0,0.03534375,639166.6051604482,0.025,0.98,181.89450638245114,0.0036431286894328375,116260894.14180678,True
G040,4,BA,9.002034065447288e-08,False,5459.5,5460.5,19.5,0.8,2e-05,3.0,3751438.3,162012.525,17772.5,2302.075,-4702.15,2.00754e-05,0.0,0.0,,,,2.2e-11,2000.0,11766.0,2400.0,0.9591979166666667,40.0,0.04080208333333333,444344.01946481084,0.025,0.98,181.89450638245114,0.0036516049734302597,80823736.08454603,True
G040,4,BA,1.2948974895804388e-07,True,419.5,420.5,19.5,0.8,2e-05,3.0,7497798.5,,,810.3,-1718.6,2e-05,,,154.0,72784.1,2557387.0,2.2e-11,2000.0,11766.0,2400.0,0.337625,40.0,0.662375,308904.76135651825,0.0,0.98,1.0,inf,inf,False
G040,4,BA,4.350620264355322e-08,True,1139.5,1140.5,19.5,0.8,2e-05,3.0,8098063.925,,,1015.225,-2128.45,2e-05,,,459.0,204604.425,7394403.5,2.2e-11,2000.0,11766.0,2400.0,0.4230104166666667,40.0,0.5769895833333333,919409.1317902515,0.0,0.98,1.0,inf,inf,False
G040,4,BA,7.97460302472002e-10,False,8579.5,8580.5,19.5,0.8,2e-05,3.0,175213.1,488577.575,51885.25,2094.875,-4287.75,2.00008e-05,0.0,0.0,,,,2.2e-11,2000.0,11766.0,2400.0,0.8728645833333333,40.0,0.12713541666666667,50159236.611535735,0.0,0.98,1.0,inf,inf,False
G040,4,BA,3.0245198666839334e-08,True,1379.5,1380.5,19.5,0.8,2e-05,3.0,8417503.05,,,1640.075,-3378.15,2e-05,,,661.0,262301.55,9720922.25,2.2e-11,2000.0,11766.0,2400.0,0.6833645833333334,40.0,0.31663541666666667,1322523.9629143444,0.0,0.98,1.0,inf,inf,False
G040,8,BA,1.8626451492309566e-10,False,19139.5,19140.5,19.5,0.8,2e-05,3.0,61.75,870.55,52.0,119.95,-337.9,2.00002e-05,0.0,0.0,,,,2.2e-11,2000.0,11766.0,2400.0,0.04997916666666667,40.0,0.9500208333333333,214748364.8000001,0.0,0.98,1.0,inf,inf,False
G040,4,BA,2.102624423214588e-08,True,1619.5,1620.5,19.5,0.8,2e-05,3.0,8628050.875,,,1723.875,-3545.75,2e-05,,,950.0,305917.925,11839817.25,2.2e-11,2000.0,11766.0,2400.0,0.71828125,40.0,0.28171875,1902384.4467118946,0.0,0.98,1.0,inf,inf,False
G040,4,BA,1.650055480022138e-09,False,8099.5,8100.5,19.5,0.8,2e-05,3.0,813589.3,1273640.675,138489.65,2279.675,-4657.35,2.00005e-05,0.0,0.0,,,,2.2e-11,2000.0,11766.0,2400.0,0.9498645833333332,40.0,0.050135416666666675,24241609.13635664,0.0,0.98,1.0,inf,inf,False
